Rank,Lemma,Count,RelativeFrequency
206,Κῦρος,445,0.000460
207,πάλιν,443,0.000458
208,δέω,441,0.000456
209,λαός,441,0.000456
210,μέσος,434,0.000449
211,ἕνεκα,422,0.000436
212,εὐθύς,418,0.000432
213,οὐρανός,414,0.000428
214,δῖος,412,0.000426
215,βάρβαρος,410,0.000424
216,κατός,408,0.000422
217,φεύγω,407,0.000421
218,γνώμη,406,0.000420
219,Ἀθήνη,406,0.000420
220,οἶκος,404,0.000418
221,ἀμφότερος,401,0.000415
222,ὕστερος,398,0.000411
223,ποτέ,398,0.000411
224,πνεῦμα,397,0.000410
225,μήτηρ,396,0.000409
226,Ἀχιλλεύς,389,0.000402
227,τρόπος,388,0.000401
228,κεῖμαι,379,0.000392
229,στρατός,375,0.000388
230,βαίνω,374,0.000387
231,φρήν,373,0.000386
232,δῆμος,371,0.000384
233,ὄρος,370,0.000383
234,μέντοι,369,0.000381
235,πυνθάνομαι,369,0.000381
236,ταχύς,366,0.000378
237,ἔθνος,365,0.000377
238,θάνατος,365,0.000377
239,νῆσος,365,0.000377
240,σῶμα,364,0.000376
241,νομίζω,364,0.000376
242,τρεῖς,361,0.000373
243,δόξα,361,0.000373
244,οὔτις,360,0.000372
245,ὄφρα,359,0.000371
246,κεφαλή,358,0.000370
247,πρᾶγμα,355,0.000367
248,μάχομαι,355,0.000367
249,ὅταν,354,0.000366
250,σός,354,0.000366
251,χρή,351,0.000363
252,δεινός,351,0.000363
253,μήτε,351,0.000363
254,νεκρός,350,0.000362
255,ὧδε,349,0.000361
256,ἀμφί,348,0.000360
257,ἐνταῦθα,346,0.000358
258,ταύτῃ,344,0.000356
259,ἀνάγκη,344,0.000356
260,πρό,341,0.000353
261,χράω,340,0.000351
262,Ἑλλάς,340,0.000351
263,ἄγγελος,339,0.000350
264,ὕδωρ,339,0.000350
265,εὑρίσκω,336,0.000347
266,μῦθος,335,0.000346
267,μέγαρον,335,0.000346
268,τοσοῦτος,334,0.000345
269,ἴδιος,334,0.000345
270,ξένος,333,0.000344
271,πλῆθος,332,0.000343
272,τοιόσδε,329,0.000340
273,αὖθις,327,0.000338
274,τυγχάνω,322,0.000333
275,ἵ,321,0.000332
276,Δαρεῖος,321,0.000332
277,πῦρ,318,0.000329
278,πλεῖστος,317,0.000328
279,μεἵ,317,0.000328
280,ἠδέ,317,0.000328
281,πράσσω,310,0.000320
282,λοιπός,310,0.000320
283,Αἴγυπτος,309,0.000319
284,στράτευμα,309,0.000319
285,μήν,308,0.000318
286,ἀνά,308,0.000318
287,Αἰγύπτιος,307,0.000317
288,ἐρῶ,306,0.000316
289,μηδέ,306,0.000316
290,γαῖα,303,0.000313
291,οὐκέτι,296,0.000306
292,παραδίδωμι,295,0.000305
293,δῶμα,292,0.000302
294,πίπτω,292,0.000302
295,φάρ,292,0.000302
296,λαλέω,292,0.000302
297,ἄξιος,289,0.000299
298,ζάω,285,0.000295
299,ὅμοιος,284,0.000294
300,Πελοποννήσιοι,284,0.000294
301,θυγάτηρ,282,0.000292
302,δόρυ,282,0.000292
303,τοίνυν,280,0.000289
304,στρατιά,279,0.000288
305,παρέχω,278,0.000287
306,πεζός,278,0.000287
307,ἐξέρχομαι,278,0.000287
308,Κορίνθιος,278,0.000287
309,ὀρθός,277,0.000286
310,γιγνώσκω,275,0.000284
311,πάσχω,275,0.000284
312,χάρις,275,0.000284
313,οὐκοῦν,274,0.000283
314,βοῦς,274,0.000283
315,ὅπλον,274,0.000283
316,Συρακούσιος,274,0.000283
317,ἱππεύς,274,0.000283
318,πίστις,273,0.000282
319,φύσις,272,0.000281
320,ὀφθαλμός,271,0.000280
321,πλήν,269,0.000278
322,αὐτίκα,268,0.000277
323,στρατιώτης,268,0.000277
324,Ξέρξης,267,0.000276
325,διʼ,266,0.000275
326,ἴσος,266,0.000275
327,μαθητής,266,0.000275
328,ἕπομαι,263,0.000272
329,μέχρι,263,0.000272
330,χωρίον,263,0.000272
331,εἰσέρχομαι,260,0.000269
332,καθός,260,0.000269
333,νέος,258,0.000267
334,χαλκός,256,0.000265
335,ἔξω,255,0.000264
336,πάνυ,254,0.000263
337,οὗς,254,0.000263
338,ἕως,254,0.000263
339,πλέω,253,0.000262
340,ἡμέτερος,253,0.000262
341,πιστεύω,252,0.000261
342,κόσμος,252,0.000261
343,γράφω,252,0.000261
344,ἄναξ,251,0.000259
345,γέρων,249,0.000257
346,στρατόπεδον,248,0.000256
347,βασιλεία,248,0.000256
348,πεδίον,247,0.000255
349,ἱκνέομαι,246,0.000254
350,ἀφίημι,245,0.000253
351,τέκνον,245,0.000253
352,ἱερόν,244,0.000252
353,νόος,243,0.000251
354,δεύτερος,243,0.000251
355,δέχομαι,243,0.000251
356,ἔγχος,243,0.000251
357,δικαιοσύνη,242,0.000250
358,μανθάνω,242,0.000250
359,γένος,242,0.000250
360,ἀνίστημι,242,0.000250
361,ἀλήθεια,241,0.000249
362,ἐάω,241,0.000249
363,βουλεύω,241,0.000249
364,ἥκω,241,0.000249
365,Σκύθης,241,0.000249
366,μνηστήρ,240,0.000248
367,ἀπόλλυμι,239,0.000247
368,ἐπ,238,0.000246
369,ἀπέρχομαι,237,0.000245
370,εἴτε,236,0.000244
371,ᾗ,236,0.000244
372,ἱκανός,236,0.000244
373,ἱερός,236,0.000244
374,ἀρετή,234,0.000242
375,Ἴωνες,234,0.000242
376,λύω,233,0.000241
377,κῆρυξ,233,0.000241
