Rank,Lemma,Count,RelativeFrequency
210,κεφαλή,416,0.000580
211,συμφορά,412,0.000575
212,πονηρός,404,0.000564
213,νόος,398,0.000555
214,τιμή,397,0.000554
215,χωρίον,397,0.000554
216,τρέπω,390,0.000544
217,δείκνυμι,389,0.000543
218,καταλιμπάνω,388,0.000541
219,τάλαντον,387,0.000540
220,ἡμέρα,386,0.000539
221,φυλάσσω,381,0.000532
222,φοβέω,381,0.000532
223,πίστις,380,0.000530
224,πορεύω,380,0.000530
225,στρατός,380,0.000530
226,Δημοσθένης,379,0.000529
227,πάνυ,378,0.000527
228,τριάκοντα,377,0.000526
229,λείπω,377,0.000526
230,φρήν,377,0.000526
231,πνεῦμα,375,0.000523
232,υἱός,374,0.000522
233,γό,373,0.000520
234,νεκρός,373,0.000520
235,στρατιώτης,372,0.000519
236,θαυμάζω,368,0.000513
237,δεύτερος,368,0.000513
238,σωτηρία,367,0.000512
239,τοιόσδε,366,0.000511
240,πολιτεία,360,0.000502
241,διώκω,358,0.000500
242,τάσσω,356,0.000497
243,δέκα,354,0.000494
244,πρόγονος,354,0.000494
245,μέχρι,353,0.000493
246,τρίτος,345,0.000481
247,φωνή,342,0.000477
248,ψηφίζω,341,0.000476
249,δείδω,340,0.000474
250,στράτευμα,340,0.000474
251,καταλαμβάνω,339,0.000473
252,εἷς,339,0.000473
253,ἤ,338,0.000472
254,πέντε,334,0.000466
255,σαφής,333,0.000465
256,Πελοποννήσιοι,332,0.000463
257,παραλαμβάνω,331,0.000462
258,κάθημαι,327,0.000456
259,πότερος,325,0.000453
260,πεζός,325,0.000453
261,ἐάν,324,0.000452
262,ἀδελφός,322,0.000449
263,ἑαυτοῦ,322,0.000449
264,βασιλεία,320,0.000447
265,στρατόπεδον,315,0.000440
266,δικαστήριον,311,0.000434
267,μέγαρον,311,0.000434
268,πολλάκις,310,0.000433
269,μακρός,310,0.000433
270,φύω,308,0.000430
271,κωλύω,307,0.000428
272,στρατιά,307,0.000428
273,τίη,305,0.000426
274,χαίρω,305,0.000426
275,μαθητής,305,0.000426
276,δικαιοσύνη,303,0.000423
277,προστάσσω,303,0.000423
278,τιμωρέω,302,0.000421
279,δηλόω,302,0.000421
280,δυνατός,302,0.000421
281,πρέσβις,302,0.000421
282,Κορίνθιος,301,0.000420
283,κτείνω,297,0.000414
284,χαλκός,292,0.000407
285,τέλος,292,0.000407
286,λαλέω,292,0.000407
287,δόρυ,291,0.000406
288,οἶδα,291,0.000406
289,Πελοπόννησος,290,0.000405
290,δικάζω,287,0.000400
291,φράζω,287,0.000400
292,κινδυνεύω,285,0.000398
293,Συρακούσιος,285,0.000398
294,τύχη,284,0.000396
295,ψεύδω,282,0.000393
296,πιστός,282,0.000393
297,δέομαι,281,0.000392
298,δήπου,281,0.000392
299,παρακαλέω,281,0.000392
300,μετέχω,280,0.000391
301,συμβουλεύω,280,0.000391
302,Ξέρξης,279,0.000389
303,λαγχάνω,277,0.000387
304,κόσμος,276,0.000385
305,τριήρης,273,0.000381
306,γραφή,273,0.000381
307,οὐρανός,271,0.000378
308,διαφέρω,270,0.000377
309,φάσκω,266,0.000371
310,πω,266,0.000371
311,φόβος,264,0.000368
312,ψευδής,263,0.000367
313,θύω,263,0.000367
314,πρόσειμι,263,0.000367
315,διέρχομαι,262,0.000366
316,τιμωρία,262,0.000366
317,τέκνον,261,0.000364
318,ναυτικός,260,0.000363
319,πεδίον,260,0.000363
320,γέρων,260,0.000363
321,παρίστημι,259,0.000361
322,Βοιωτός,259,0.000361
323,τόπος,259,0.000361
324,διαπράσσω,258,0.000360
325,μισθός,257,0.000359
326,βία,256,0.000357
327,Σκύθης,254,0.000354
328,καταλύω,253,0.000353
329,πώποτε,251,0.000350
330,προσέρχομαι,251,0.000350
331,καταβαίνω,251,0.000350
332,σφέτερος,250,0.000349
333,συμμαχία,248,0.000346
334,κτάομαι,245,0.000342
335,πρέσβυς,245,0.000342
336,παρέρχομαι,245,0.000342
337,διαβαίνω,245,0.000342
338,διάκειμαι,243,0.000339
339,Σικελία,242,0.000338
340,γῆ,242,0.000338
341,μνηστήρ,240,0.000335
342,ἐκεῖνος,240,0.000335
343,χρηστός,235,0.000328
344,πρόσφημι,234,0.000327
345,χρύσεος,233,0.000325
346,παλαιός,233,0.000325
347,παραγίγνομαι,233,0.000325
348,προίημι,232,0.000324
349,τρέφω,232,0.000324
350,ἀποκρίνομαι,232,0.000324
351,καταλείπω,230,0.000321
352,οὐδείς,230,0.000321
353,πίνω,229,0.000320
354,βλάπτω,229,0.000320
355,τελέω,229,0.000320
356,ἅγιος,229,0.000320
357,μισέω,228,0.000318
358,τεκμήριον,227,0.000317
359,κατέχω,226,0.000315
360,καρδία,226,0.000315
361,ὄνομα,226,0.000315
362,Τηλέμαχος,224,0.000313
363,λίθος,223,0.000311
364,τύραννος,222,0.000310
365,διατίθημι,222,0.000310
366,διαβάλλω,220,0.000307
367,βλέπω,220,0.000307
368,μέλας,218,0.000304
369,τίκτω,218,0.000304
370,γινώσκω,218,0.000304
371,πρόφασις,216,0.000301
372,φωνέω,215,0.000300
373,ἐξέρχομαι,215,0.000300
374,κρίσις,214,0.000299
375,χωρίς,214,0.000299
376,δράω,213,0.000297
377,βασιλεύω,212,0.000296
378,νέμω,212,0.000296
379,τεύχω,212,0.000296
380,προδίδωμι,211,0.000294
381,χρυσός,211,0.000294
382,θεά,211,0.000294
383,διαλέγω,210,0.000293
384,κανέω,210,0.000293
385,διαθήκη,210,0.000293
386,Μενέλαος,210,0.000293
387,ὑπό,210,0.000293
388,τέ,210,0.000293
389,ἀνήρ,210,0.000293
390,πρόθυμος,209,0.000292
391,λογίζομαι,209,0.000292
392,Σάμος,207,0.000289
393,φόνος,207,0.000289
394,τέχνη,207,0.000289
395,πόντος,206,0.000287
396,στόμα,206,0.000287
397,θέλω,206,0.000287
398,σκέπτομαι,205,0.000286
399,τριακόσιοι,205,0.000286
400,πάλαι,204,0.000285
401,μείς,202,0.000282
402,φυλακή,201,0.000280
403,παρασκευή,201,0.000280
404,θύρα,200,0.000279
405,νοέω,200,0.000279
406,οὕτω(ς),200,0.000279
407,δημοκρατία,199,0.000278
408,κτέομαι,198,0.000276
409,χειμών,196,0.000273
410,ναυμαχία,196,0.000273
411,θρόνος,196,0.000273
412,συμβάλλω,194,0.000271
413,Ἰουδαῖος,194,0.000271
414,κολάζω,193,0.000269
415,μίγνυμι,193,0.000269
416,ἰδού,193,0.000269
417,χείρων,192,0.000268
418,φιλέω,191,0.000267
419,πολιορκέω,191,0.000267
420,εἰσέρχομαι,190,0.000265
421,μένος,189,0.000264
422,κύων,188,0.000262
423,διαλύω,186,0.000260
424,κατασκευάζω,186,0.000260
425,χωρέω,186,0.000260
426,δεξιός,186,0.000260
427,τάξις,185,0.000258
428,πρόσθεν,185,0.000258
429,πόνος,183,0.000255
430,στέφανος,182,0.000254
431,καθώς,182,0.000254
432,βραχύς,181,0.000253
433,συνίστημι,181,0.000253
434,πεντήκοντα,180,0.000251
435,πύλη,180,0.000251
436,σχεδόν,179,0.000250
437,προσαυδάω,179,0.000250
438,βελτίων,178,0.000248
439,μέγεθος,177,0.000247
440,διάνοια,177,0.000247
441,λιμήν,177,0.000247
442,τέσσαρες,177,0.000247
443,Πειραιεύς,176,0.000246
444,εὑρίσκω,176,0.000246
445,πολιτεύω,175,0.000244
446,δώδεκα,175,0.000244
447,συνάγω,174,0.000243
448,χρήσιμος,174,0.000243
449,ὄχλος,174,0.000243
450,μέτριος,173,0.000241
451,δραχμή,173,0.000241
452,ζωή,173,0.000241
453,ἄγγελος,173,0.000241
454,φύλαξ,172,0.000240
455,ἄν,171,0.000239
456,συλλέγω,169,0.000236
457,συγχωρέω,168,0.000234
458,χέω,168,0.000234
459,Δαναοί,168,0.000234
460,σφόδρα,165,0.000230
461,νή,165,0.000230
462,στρατεία,165,0.000230
463,δόμος,165,0.000230
464,ἁμαρτία,165,0.000230
465,προσέχω,164,0.000229
466,θάπτω,164,0.000229
467,καρπός,163,0.000227
468,Φωκεύς,163,0.000227
469,σπονδή,162,0.000226
470,ναί,162,0.000226
471,δαμάζω,161,0.000225
472,πλούσιος,161,0.000225
473,Πρίαμος,161,0.000225
474,βέλτιστος,160,0.000223
475,μάλας,160,0.000223
476,γόνυ,160,0.000223
477,Πάτροκλος,160,0.000223
478,κρατερός,160,0.000223
479,ἔθνος,160,0.000223
480,παραβαίνω,159,0.000222
481,πως,159,0.000222
482,Σπαρτιάτης,159,0.000222
483,σάρξ,159,0.000222
484,Παῦλος,158,0.000220
485,περιγίγνομαι,157,0.000219
486,θεωρέω,156,0.000218
487,γράμμα,156,0.000218
488,δεσπότης,156,0.000218
489,ἐσθίω,156,0.000218
490,Πέτρος,156,0.000218
491,κατήγορος,155,0.000216
492,τράπεζα,155,0.000216
493,κώμη,154,0.000215
494,Θεσσαλός,154,0.000215
495,Δελφοί,154,0.000215
496,θοός,154,0.000215
497,τόξον,153,0.000213
498,ἔργον,153,0.000213
499,ἄλλος,153,0.000213
500,διακόσιοι,152,0.000212
501,διατρίβω,152,0.000212
502,πληρόω,152,0.000212
503,πρῶτος,152,0.000212
504,χαρίζομαι,151,0.000211
505,θεραπεύω,150,0.000209
506,διατελέω,150,0.000209
507,ἵστημι,150,0.000209
508,ζημία,149,0.000208
509,γαμέω,149,0.000208
510,προφήτης,149,0.000208
511,ὑπέρ,149,0.000208
512,πονηρία,148,0.000207
513,προερέω,148,0.000207
514,πορεύομαι,148,0.000207
515,Λακεδαίμων,147,0.000205
516,μέλω,147,0.000205
517,σύμπας,146,0.000204
518,καίω,146,0.000204
519,συνθήξ,145,0.000202
520,λίαν,144,0.000201
521,κατηγορία,143,0.000200
522,δύω,143,0.000200
523,ἕως,143,0.000200
524,ὅστις,142,0.000198
525,ἀφίημι,142,0.000198
526,οὐδέ,142,0.000198
